Platform,Post ID,Post Type,Post Content,Post Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement Rate,Audience Age,Audience Gender,Audience Location,Audience Interests,Home_Reach,Explore_Reach,Hashtag_Reach,Username
Facebook,a7d3e958-e2fe-411e-a24a-b96e821fc050,Link,At clear meeting with reason ground continue contain.,2023-02-27 17:51:21.425,659,215,34,3312,2032,44.69,33,Other,Afghanistan,well,872,1,145,Emma_79
Facebook,0922ea18-ea90-4302-b126-bd95f85a0926,Video,Vote American state change simply cup.,2021-11-23 08:32:30.081,510,438,110,3871,2667,39.67,59,Female,Djibouti,she,266,1213,110,Jane_6666
Facebook,a30c948b-0fb3-4e92-95da-e2dea184f568,Link,Floor glass bring indicate seem detail.,2022-06-19 14:15:59.833,604,29,2,1386,1831,34.68,33,Female,Lao People's Democratic Republic,attorney,151,598,154,Daniel_1999
Facebook,155695e8-1195-46bb-b5c3-0d93d8ecbb23,Link,Ground board after read.,2023-11-08 14:06:20.097,632,267,58,4463,3020,31.69,33,Male,United States Minor Outlying Islands,page,466,1181,36,pokemon_4444
Facebook,11e4a8bf-1afe-468b-81e0-bbfe18cd4e22,Video,Friend education author care evidence.,2023-03-30 16:18:46.586,759,95,21,3135,2284,38.31,57,Female,Armenia,natural,747,583,39,huggies_634
Facebook,c5799bc4-30fc-4323-a871-30137bac0810,Link,Game painting interesting travel experience dinner mission.,2023-02-02 15:52:12.950,872,169,21,6165,1726,61.53,35,Other,China,focus,538,40,5,kolla_2222
Facebook,830043bd-1a2d-47f8-bafb-d1b60e356b21,Link,Road particular upon maintain bed at society law.,2022-04-11 04:12:23.324,679,407,180,7980,1509,83.9,57,Female,Gambia,with,135,107,0,gunjkal_342
Facebook,35ba37ae-7b67-46ba-8d6a-71a811739ff8,Video,Adult character admit.,2023-02-06 13:02:02.855,430,301,146,3606,1056,83.05,53,Male,Aruba,door,177,1,0,surru_1111
Facebook,ad0800ff-7c2c-43ad-8e0e-5475beac8c28,Image,Look other fill alone trip.,2022-07-15 08:32:25.218,823,171,162,8895,4580,25.24,21,Male,Moldova,hope,3209,6,12,kolla_79
Facebook,91c4a56f-b710-4272-9fae-df8932aa8d72,Image,Attack agency benefit good.,2021-08-21 05:48:54.173,137,327,141,1010,4631,13.06,18,Male,Hong Kong,coach,2417,780,546,silver_saint_6
Facebook,b500076f-b136-4e13-818d-9ef714790f4d,Image,Company street those return.,2022-04-12 16:30:04.265,658,36,128,3258,3626,22.67,47,Other,Rwanda,standard,1364,69,1362,pokemon_634
Facebook,14ca12b7-e129-4cd8-8612-b9ede3064b47,Link,Mind still page food memory.,2023-07-02 10:57:10.730,352,476,104,1436,4242,21.97,47,Male,United States Virgin Islands,born,1313,977,615,Daniel_6666
Facebook,2200f14d-0331-4475-98b3-68d22bdd7431,Image,Myself matter these parent matter enough nothing.,2023-06-29 12:59:56.730,455,325,4,5589,3335,23.51,64,Other,Saint Martin,rate,1664,386,331,huggies_4326
Facebook,04d1232c-6dee-4a6e-8760-d86df5425f2c,Link,Guy scientist bad long discuss science.,2024-01-01 15:51:28.720,177,301,88,9898,1080,52.41,25,Female,Central African Republic,tell,416,83,5,Daniel_344667
Facebook,4e8144e1-78f2-40af-881c-82082ef4ac9e,Image,Put foreign describe store.,2022-12-24 08:53:19.271,431,395,7,2280,1213,68.67,62,Female,Congo,sister,32,84,110,don_hu_me_2222
Facebook,a344d906-55d0-46ad-9945-79fb9735996e,Image,Call us long evening floor.,2021-12-29 11:00:22.608,574,41,31,8529,1150,56.17,39,Female,Argentina,before,396,108,0,David_2222
Facebook,5faf2d73-23d1-4beb-8725-dfedc728a1e8,Link,Question learn run nearly believe political series.,2021-04-28 10:01:03.073,549,374,98,2118,2409,42.38,44,Male,Norfolk Island,chair,432,866,29,Sarah_669
Facebook,e3b1c35f-bfd8-4298-b255-63507a2afc9a,Video,Conference put put service.,2022-07-11 13:56:42.849,206,442,181,3305,4835,17.15,31,Female,Korea,citizen,2903,900,47,don_hu_me_6666
Facebook,fc14e9dd-c5fb-4de6-88ec-07f0b2c8829c,Video,Note star account page interview direction main war.,2022-12-12 17:36:57.755,376,25,172,9855,4202,13.64,34,Female,Sudan,realize,2267,826,88,chappri_no__3568
Facebook,709a0bab-2ba4-4722-8df5-06ecce0b134a,Link,List prove state threat off energy.,2023-10-16 13:24:54.136,732,243,192,4752,3141,37.15,62,Female,Chad,reality,416,745,521,don_hu_me_777
